,date,state,all_new_hospitalizations
0,2020-03-01 00:00:00,AK,
1,2020-03-08 00:00:00,AK,
2,2020-03-15 00:00:00,AK,
3,2020-03-22 00:00:00,AK,
4,2020-03-29 00:00:00,AK,
5,2020-04-05 00:00:00,AK,0.0
6,2020-04-12 00:00:00,AK,0.0
7,2020-04-19 00:00:00,AK,0.0
8,2020-04-26 00:00:00,AK,0.0
9,2020-05-03 00:00:00,AK,0.0
10,2020-05-10 00:00:00,AK,0.0
11,2020-05-17 00:00:00,AK,0.0
12,2020-05-24 00:00:00,AK,0.0
13,2020-05-31 00:00:00,AK,0.0
14,2020-06-07 00:00:00,AK,0.0
15,2020-06-14 00:00:00,AK,0.0
16,2020-06-21 00:00:00,AK,0.0
17,2020-06-28 00:00:00,AK,0.0
18,2020-07-05 00:00:00,AK,0.0
19,2020-07-12 00:00:00,AK,0.0
20,2020-07-19 00:00:00,AK,39.0
21,2020-07-26 00:00:00,AK,96.0
22,2020-08-02 00:00:00,AK,81.0
23,2020-08-09 00:00:00,AK,83.0
24,2020-08-16 00:00:00,AK,64.0
25,2020-08-23 00:00:00,AK,69.0
26,2020-08-30 00:00:00,AK,78.0
27,2020-03-01 00:00:00,AL,
28,2020-03-08 00:00:00,AL,
29,2020-03-15 00:00:00,AL,0.0
30,2020-03-22 00:00:00,AL,0.0
31,2020-03-29 00:00:00,AL,0.0
32,2020-04-05 00:00:00,AL,0.0
33,2020-04-12 00:00:00,AL,0.0
34,2020-04-19 00:00:00,AL,0.0
35,2020-04-26 00:00:00,AL,0.0
36,2020-05-03 00:00:00,AL,0.0
37,2020-05-10 00:00:00,AL,0.0
38,2020-05-17 00:00:00,AL,0.0
39,2020-05-24 00:00:00,AL,0.0
40,2020-05-31 00:00:00,AL,0.0
41,2020-06-07 00:00:00,AL,0.0
42,2020-06-14 00:00:00,AL,0.0
43,2020-06-21 00:00:00,AL,0.0
44,2020-06-28 00:00:00,AL,0.0
45,2020-07-05 00:00:00,AL,0.0
46,2020-07-12 00:00:00,AL,0.0
47,2020-07-19 00:00:00,AL,1159.0
48,2020-07-26 00:00:00,AL,1718.0
49,2020-08-02 00:00:00,AL,1214.0
50,2020-08-09 00:00:00,AL,949.0
51,2020-08-16 00:00:00,AL,1056.0
52,2020-08-23 00:00:00,AL,1316.0
53,2020-08-30 00:00:00,AL,1723.0
54,2020-03-01 00:00:00,AR,
55,2020-03-08 00:00:00,AR,
56,2020-03-15 00:00:00,AR,
57,2020-03-22 00:00:00,AR,0.0
58,2020-03-29 00:00:00,AR,0.0
59,2020-04-05 00:00:00,AR,0.0
60,2020-04-12 00:00:00,AR,0.0
61,2020-04-19 00:00:00,AR,0.0
62,2020-04-26 00:00:00,AR,0.0
63,2020-05-03 00:00:00,AR,0.0
64,2020-05-10 00:00:00,AR,0.0
65,2020-05-17 00:00:00,AR,0.0
66,2020-05-24 00:00:00,AR,0.0
67,2020-05-31 00:00:00,AR,0.0
68,2020-06-07 00:00:00,AR,0.0
69,2020-06-14 00:00:00,AR,0.0
70,2020-06-21 00:00:00,AR,0.0
71,2020-06-28 00:00:00,AR,0.0
72,2020-07-05 00:00:00,AR,0.0
73,2020-07-12 00:00:00,AR,0.0
74,2020-07-19 00:00:00,AR,574.0
75,2020-07-26 00:00:00,AR,1149.0
76,2020-08-02 00:00:00,AR,1602.0
77,2020-08-09 00:00:00,AR,1593.0
78,2020-08-16 00:00:00,AR,1604.0
79,2020-08-23 00:00:00,AR,1562.0
80,2020-08-30 00:00:00,AR,1347.0
81,2020-03-01 00:00:00,AZ,
82,2020-03-08 00:00:00,AZ,
