,date,state,case_numbers,index
0,2020/01/01,IN,0.0,0
1,2020/01/01,AL,,1
2,2020/01/01,MT,0.0,2
3,2020/01/01,HI,0.0,3
4,2020/01/01,LA,,4
5,2020/01/01,TX,0.0,5
6,2020/01/01,MN,,6
7,2020/01/01,NC,,7
8,2020/01/01,PR,0.0,8
9,2020/01/02,HI,0.0,9
10,2020/01/02,TX,0.0,10
11,2020/01/02,PR,0.0,11
12,2020/01/02,NC,0.0,12
13,2020/01/02,NV,1877.0,13
14,2020/01/02,MT,0.0,14
15,2020/01/02,MN,,15
16,2020/01/02,LA,,16
17,2020/01/02,AL,,17
18,2020/01/02,IN,0.0,18
19,2020/01/03,NC,0.0,19
20,2020/01/03,PR,0.0,20
21,2020/01/03,IN,0.0,21
22,2020/01/03,AL,,22
23,2020/01/03,MN,,23
24,2020/01/03,LA,,24
25,2020/01/03,NV,1877.0,25
26,2020/01/03,MT,0.0,26
27,2020/01/03,TX,0.0,27
28,2020/01/03,HI,0.0,28
29,2020/01/04,NV,1877.0,29
30,2020/01/04,HI,0.0,30
31,2020/01/04,TX,0.0,31
32,2020/01/04,AR,,32
33,2020/01/04,PR,0.0,33
34,2020/01/04,MT,0.0,34
35,2020/01/04,IN,0.0,35
36,2020/01/04,NC,0.0,36
37,2020/01/04,AL,,37
38,2020/01/04,MN,,38
39,2020/01/04,LA,,39
40,2020/01/05,NC,0.0,40
41,2020/01/05,PR,0.0,41
42,2020/01/05,AL,,42
43,2020/01/05,LA,,43
44,2020/01/05,MT,0.0,44
45,2020/01/05,HI,0.0,45
46,2020/01/05,TX,0.0,46
47,2020/01/05,MN,,47
48,2020/01/05,IN,0.0,48
49,2020/01/05,NV,1877.0,49
50,2020/01/05,AR,,50
51,2020/01/06,IN,0.0,51
52,2020/01/06,AL,,52
53,2020/01/06,AR,,53
54,2020/01/06,NV,1877.0,54
55,2020/01/06,HI,0.0,55
56,2020/01/06,TX,0.0,56
57,2020/01/06,NC,0.0,57
58,2020/01/06,MN,,58
59,2020/01/06,MT,0.0,59
60,2020/01/07,MN,,60
61,2020/01/07,MT,0.0,61
62,2020/01/07,IN,0.0,62
63,2020/01/07,HI,0.0,63
64,2020/01/07,NC,0.0,64
65,2020/01/07,AR,,65
66,2020/01/07,AL,,66
67,2020/01/07,TX,0.0,67
68,2020/01/08,NC,0.0,68
69,2020/01/08,AL,,69
70,2020/01/08,IN,0.0,70
